model	variant	ctx	greenboost	suite	status	prompt_tps	response_tps	ppl	peak_vram_mib	delta_vram_mib	corpus	repeat_count	confidence_grade	run_dir
Nemotron 120B	tq1_k	512	on	core_matrix_v1_ctx512	ok			4.0457	9432	8446	mixed_summary_report.txt	1	B	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	tq3_k	512	on	core_matrix_v1_ctx512	ok			4.0479	9432	8446	mixed_summary_report.txt	1	B	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	sq3_k	512	on	core_matrix_v1_ctx512	ok			4.0479	9432	8446	mixed_summary_report.txt	1	B	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	planar3_k	512	on	core_matrix_v1_ctx512	ok			4.0351	9430	8442	mixed_summary_report.txt	1	B	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Nemotron 120B	iso3_k	512	on	core_matrix_v1_ctx512	ok			4.0351	9430	8442	mixed_summary_report.txt	1	B	runs/20260410T171135Z_nemotron120b-ppl-vram-ported-on-gapfill
Mistral 119B	baseline	512	on	core_matrix_v1_ctx512	failed				7215	6299	mixed_summary_report.txt	1	F	runs/20260411T014602Z_mistral119b-baseline-ctx512
Mistral 119B	tq1_k	512	on	core_matrix_v1_ctx512	ok			32122.2728	7343	6427	mixed_summary_report.txt	1	B	runs/20260411T015013Z_mistral119b-tq1_k-ctx512
Mistral 119B	tq3_k	512	on	core_matrix_v1_ctx512	ok			47109.3475	7343	6427	mixed_summary_report.txt	1	B	runs/20260411T015417Z_mistral119b-tq3_k-ctx512
Mistral 119B	sq3_k	512	on	core_matrix_v1_ctx512	ok			47109.3475	7343	6427	mixed_summary_report.txt	1	B	runs/20260411T015825Z_mistral119b-sq3_k-ctx512
Mistral 119B	planar3_k	512	on	core_matrix_v1_ctx512	failed				6087	5171	mixed_summary_report.txt	1	F	runs/20260411T020234Z_mistral119b-planar3_k-ctx512
Mistral 119B	iso3_k	512	on	core_matrix_v1_ctx512	failed				6087	5171	mixed_summary_report.txt	1	F	runs/20260411T020530Z_mistral119b-iso3_k-ctx512
